ID_fuente,Tipo_fuente,Archivo_fuente,Titulo,Autor_institucion,Año,URL_fuente,N_casos,Casos_asociados
F-M2-19,web,,Aldea Navarro - Modelo de habitat colectivo rural,DARP (De Arquitectura y Paisaje) + Ana Elvira Velez + Cabal + Buitrago - Alcaldia Cali / FEV / SCA Valle,2021,https://www.archdaily.cl/cl/975725/aldea-navarro-un-prototipo-de-vivienda-social-rural-sostenible-para-reasentar-familias-de-vocacion-productiva-en-colombia,1,CAS-040
F-M2-20,web,,Prototipo Flexible Vivienda Rural Cafetera (Pitalito),German Andres Ramirez Tovar - CPNAA (Corona Pro Habitat 2015),2015,https://www.cpnaa.gov.co/prototipo-flexible-de-vivienda-rural-cafetera/,1,CAS-041
F-M2-21,web,,Centro Etnoeducativo Walirumana (referente arquitectura rural),Juan Salamanca Balen / Salba - ArchDaily / Bienal SCA 2022,2020,https://www.archdaily.com/980382/walirumana-ethno-educational-center-salba,1,CAS-042
F-M2-22,web,,Programa Vivienda Caldas - piloto Buenavista (Chinchina),"Gobernacion de Caldas (operador estatal, sin arquitecto identificado)",2023,https://site.caldas.gov.co/noticias-gobernacion/14528-gobierno-de-caldas-avanza-en-la-ejecucion-de-proyectos-de-vivienda-construidas-en-guadua-inversion-es-de-cerca-de-3-000-millones,1,CAS-043
F-M2-23,web,,Urbanizacion El Paraiso - Casas Palafiticas Riosucio (Fondo Adaptacion),"Programa Fondo Adaptacion (Director Ivan Mustafa, sin arquitecto identificado)",2018,https://www.fondoadaptacion.gov.co/index.php/component/content/article/170-prensa/comunicados-de-prensa/comunicados-de-prensa-2017/584-comunicado-142-17.html?Itemid=101,1,CAS-044
F-M2-24,revista,M2-CUC-ElAgrio-Peque-Marin-Garces-Bello-2025.pdf,"Arquitectura rural en Colombia: autoconstruccion-sostenibilidad-tradicion en la vivienda de El Agrio, Peque, Antioquia","Marin Echeverri, M., Garces Bravo, C.A. & Bello Quevedo, F.C. - Universidad Santo Tomas Medellin",2025,https://revistascientificas.cuc.edu.co/moduloarquitecturacuc/article/view/6613,1,CAS-045
F-M2-25,web,,Prototipo de Vivienda Rural Sostenible y Productiva (VRSP) - FP Arquitectura,FP Arquitectura (Forgioni + Puentes) - Concurso Publico SCA 2019,2019,https://www.archdaily.cl/cl/912225/prototipo-de-vivienda-rural-sostenible-y-productiva-en-colombia-por-fp-arquitectura,1,CAS-046
F-M2-26,tesis,M2-UNAL-Sguerra-Makaguan-Arauca-2019.pdf,Valoracion de las tecnicas constructivas ancestrales del pueblo Makaguan,"Sguerra Villabona, L.E. - Tesis Maestria en Construccion UNAL Medellin (director C.A. Mejia Barrera)",2019,https://bffrepositorio.unal.edu.co/server/api/core/bitstreams/5eaf2c2a-d4ff-49d2-adbf-0d504a77412d/content,1,CAS-047
F-M2-27,web,,CasaSolea - Lapiz de Acero 2025 (Parco Medellin),Parco - Martin Jimenez Mejia + Alejandro Munoz; cliente Playa Macho SAS - nominado Lapiz de Acero 2025 (Espacio / Diseño Arquitectonico),2024,https://www.lapizdeacero.org/nominado/casasolea/,1,CAS-048
F-M2-28,web,,Casa Barro Negro - restauracion vivienda rural Valle de Tenza (Cabida Arquitectura),Cabida Arquitectura SAS Bogota (Oscar M. Gonzalez Vargas + Angela M. Vargas Contreras + Diana C. Lancheros Ardila) - Nominado Lapiz de Acero 2025 (Espacio / Diseño Arquitectonico),2024,https://www.lapizdeacero.org/nominado/casa-barro-negro/,1,CAS-049
