Referencia,ID,Criterio_medida,Descripcion,Tipo,Etapa_ciclo_vida,E1_bioclimatica,E2_energia,E3_agua,E4_materiales,Enfoque_genero,Inclusion_social,Aplica_vivienda_rural,Clima,Subsistema,Caracter_legal,Nivel_cumplimiento,Parametro_indicador,Correspondencia_cruzada
Res.0194,MW-07,Tratamiento aguas negras,PTAR para todas las aguas residuales,medida_hidrica,operación,,,Principal,,,,condicional,todos,Instalaciones,obligatorio,recomendada,% reciclada,CEELA:C12; Decreto 3930/2010 (vertimientos)
Res.0194,MW-08,Captación aguas lluvias,Captación por cubiertas → filtrado → PTALL → redistribución,medida_hidrica,operación,,,Principal,,ENUT 2024-25: 70% mujeres participan en limpieza/mantenimiento (incluye acarreo agua en rural); 8h53min/día trabajo no remunerado en rural disperso; captación pluvial elimina acarreo (Ley 2462 Fin 3),,si,todos,Instalaciones,obligatorio,a_discrecion,m³/año,CEELA:C12; Ley.2462:L-F03
Res.0194,MW-09,Paisajismo eficiente en agua,Vegetación nativa; bajo consumo riego; establecimiento <2 años,medida_hidrica,operación,,,Principal,,,,si,calido_seco,Exterior,obligatorio,recomendada,% reducción riego,CEELA:C09
Res.0194,MW-10,Recuperación condensado AA,Recolectar agua condensación del AA para reúso,medida_hidrica,operación,,,Principal,,,,no,na,na,recomendada,l/día,,
Res.0534,A-E-1,Energía embebida en materiales,ACV de energía total consumida por un material en su ciclo de vida,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,MJ/unidad funcional,CEELA:C03
Res.0534,A-E-2,Consumo proyectado energía operación,Cumplir % ahorro Res. 0194; diseño bioclimático; simulación,criterio_ambiental,diseño,Principal,Principal,,,,,si,todos,todos,obligatorio,minimo,% ahorro vs línea base,Res.0194:MP-01 a MP-15
Res.0534,A-E-3,Ahorro energía en construcción,Control global consumo eléctrico mes a mes en obra,criterio_ambiental,construcción,,Principal,,,,,si,todos,na,obligatorio,minimo,kWh/mes,
Res.0534,A-E-4,Medición y control consumo energía,Medidores por cada fuente de abastecimiento,criterio_ambiental,operación,,Principal,,,,,condicional,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,A-E-5,Desempeño energético en el tiempo,Verificación calidad sistemas que consumen energía,criterio_ambiental,operación,,Principal,,,,,condicional,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,A-E-6,Ahorro energía en deconstrucción,Control global consumo eléctrico en deconstrucción,criterio_ambiental,deconstrucción,,Principal,,,,,condicional,todos,na,obligatorio,minimo,kWh/mes,
Res.0534,A-A-1,Huella hídrica de materiales,ACV de huella hídrica; materiales estructurales y envolvente,criterio_ambiental,extracción/manufactura,,,Complementario,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,m³/unidad funcional,
Res.0534,A-A-2,Eutrofización,ACV potencial de eutrofización de materiales,criterio_ambiental,extracción/manufactura,,,Complementario,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg PO₄eq,
Res.0534,A-A-3,Consumo agua proyectado operación,Cumplir % ahorro agua Res. 0194; balance hídrico,criterio_ambiental,diseño,,,Principal,,,,si,todos,Instalaciones,obligatorio,minimo,% ahorro vs línea base,Res.0194:MW-01 a MW-10; CEELA:C12
Res.0534,A-A-4,Ahorro agua en construcción,Control global consumo agua mes a mes en obra,criterio_ambiental,construcción,,,Principal,,,,si,todos,na,obligatorio,minimo,m³/mes,
Res.0534,A-A-5,Plan erosión; sedimentación; vertidos,Elaborar y ejecutar plan de control,criterio_ambiental,construcción,,,Principal,,,,si,todos,na,obligatorio,minimo,,; Decreto 3930/2010 (control vertimientos en obra)
Res.0534,A-A-6,Medición y control consumo agua,Medidores por cada fuente de abastecimiento,criterio_ambiental,operación,,,Principal,,,,si,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,A-A-7,Desempeño consumo agua en el tiempo,Verificación calidad sistemas que consumen agua,criterio_ambiental,operación,,,Principal,,,,si,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,A-EM-1,Emisiones GEI por fabricación materiales,ACV de GEI; materiales estructurales y envolvente,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg CO₂eq,CEELA:C03; Res.0831/2020 (MRV acciones mitigacion)
Res.0534,A-EM-2,Protección capa de ozono por fabricación,ACV potencial agotamiento capa ozono,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg CFC-11eq,
Res.0534,A-EM-3,Compuestos ácidos emitidos al aire,ACV potencial acidificación,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg SO₂eq,
Res.0534,A-EM-4,Contaminación atmosférica por fabricación,ACV formación ozono troposférico,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,POCP,
Res.0534,A-EM-5,Emisiones GEI ciclo de vida del proyecto,ACV huella de carbono del edificio (estructura + envolvente). NDC 2020: Colombia compromete reduccion 176 Mt CO2eq a 2030; sector vivienda incluido; edificaciones nuevas deben ser bajas en carbono,criterio_ambiental,diseño,,Complementario,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg CO₂eq edificio; NDC: 176 Mt CO2eq reduccion a 2030,CEELA:C03
Res.0534,A-EM-6,Emisiones GEI combustibles fósiles en obra,Fichas mantenimiento preventivo maquinaria,criterio_ambiental,construcción,,Principal,,,,,si,si,todos,na,obligatorio,minimo,
Res.0534,A-EM-7,Plan control contaminación atmosférica,Elaborar y ejecutar plan durante obra,criterio_ambiental,construcción,,,,Complementario,,,si,todos,na,obligatorio,minimo,,
Res.0534,A-EM-8,Uso FNCE para reducir GEI,Reemplazar mínimo 1% energía total con fuentes no convencionales. E2050: 100% edificaciones nuevas Net Zero a partir de 2030; existentes Net Zero a 2050 (WorldGBC). 75% RCD aprovechables en peso total materiales,criterio_ambiental,operación,,Principal,,,,,si,si,todos,S5,obligatorio,minimo; E2050: 100% nuevas Net Zero 2030; 75% RCD aprovechable,% energía FNCE; E2050 Estrategia Climatica LP
Res.0534,A-M-1,Diseño con materiales con atributos sostenibilidad,ACV para materiales envolvente y estructurales; especificar atributos,criterio_ambiental,diseño,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,,CEELA:C03; C05; CONPES 3934 (Crecimiento Verde 2030)
Res.0534,A-M-2,Política de compras sostenibles,Política para adecuaciones y remodelaciones futuras,criterio_ambiental,operación,,,,Principal,,,si,todos,na,obligatorio,minimo,,; CONPES 3934; Estrategia Economia Circular MADS
Res.0534,A-S-1,Evaluación del sitio,Evaluación que retroalimente decisiones de diseño; remediación si contaminación,criterio_ambiental,diseño,Complementario,,Complementario,Complementario,,,si,todos,na,obligatorio,minimo,,CEELA:C09
Res.0534,A-R-1,Circularidad,REP en empaques y envases; reincorporación a ciclo biológico o tecnológico,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,% reincorporación,; CONPES 3934 meta reciclaje materiales
Res.0534,A-R-2,Diseño modular para disminuir RCD,Modulación espacios según tamaños típicos de materiales,criterio_ambiental,diseño,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,,
Res.0534,A-R-3,Diseño espacios manejo integral residuos,Espacio para separación: reciclables; compostables; peligrosos; ordinarios,criterio_ambiental,diseño,,,,Complementario,,,si,todos,Envolvente,obligatorio,minimo,,
Res.0534,A-R-4,Plan gestión RCD construcción,Plan previo inicio obra según regulación. E2050: meta 75% de RCD aprovechables en peso total de materiales usados en nuevas edificaciones,criterio_ambiental,construcción,,,,Complementario,,,si,todos,na,obligatorio,minimo,% desvío de relleno; E2050: 75% RCD aprovechable,
Res.0534,A-R-5,Política gestión residuos operación,5 flujos: RAEE; RCD remodelaciones; peligrosos,criterio_ambiental,operación,,,,Complementario,,,si,todos,na,obligatorio,minimo,,
Res.0534,A-R-6,Plan gestión RCD deconstrucción,Plan previo según regulación,criterio_ambiental,deconstrucción,,,,Complementario,,,si,todos,na,obligatorio,minimo,% desvío de relleno,
Res.0534,A-FL-1,Madera responsable,Salvoconducto SUNL; LOF; informe anual proveedor; FSC/PEFC deseable,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Cubierta,obligatorio,minimo,,
Res.0534,A-FL-2,Prevención deforestación cadena productiva,Soportes legalidad de productos; informes sostenibilidad,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Cubierta,obligatorio,minimo,,
Res.0534,A-FL-3,Plan gestión flora y fauna en obra,Elaborar y ejecutar plan durante actividades constructivas,criterio_ambiental,construcción,,,,Complementario,,,si,todos,na,obligatorio,minimo,,
Res.0534,A-SE-1,Sistemas drenaje sostenible (SUDS),Cumplir RAS referente a SUDS,criterio_ambiental,diseño,,,Principal,,,,si,todos,Exterior,obligatorio,minimo,,
Res.0534,A-SE-2,Plan mantenimiento del sitio,Contar con plan de mantenimiento adecuado,criterio_ambiental,operación,Complementario,,Complementario,,,,si,todos,Exterior,obligatorio,minimo,,
Res.0534,S-CT-1,Confort térmico por diseño bioclimático,Análisis bioclimático; especificar aislamiento; ganancia solar; reflectancia; emitancia,criterio_social,diseño,Principal,,,,,,si,todos,Estructura Envolvente,obligatorio,minimo,ASHRAE 55-2023 (deseable),Res.0194:MP-05 a MP-15; CEELA:C02; C04; C06; C08
Res.0534,S-CT-2,Resguardo y sombra trabajadores en obra,Áreas de resguardo con semicubiertas,criterio_social,construcción,Complementario,,,,,,si,todos,na,obligatorio,minimo,,
Res.0534,S-CT-3,Confort y controlabilidad térmica,Encuestas confort térmico a usuarios + medidas de mejora,criterio_social,operación,Principal,Complementario,,,,,si,todos,Instalaciones,obligatorio,minimo,,CEELA:C11
Res.0534,S-CL-1,Control contaminación lumínica,Iluminación exterior con protecciones; evitar luz al cielo,criterio_social,diseño,Principal,Complementario,,,,,si,todos,Instalaciones,obligatorio,minimo,,
Res.0534,S-CL-2,Confort y controlabilidad lumínica,Controles individuales de iluminación,criterio_social,operación,Principal,Complementario,,,,,si,todos,Instalaciones,obligatorio,minimo,,CEELA:C10
Res.0534,S-A-1,Calidad del aire interior,Cumplir tasas renovación ASHRAE 62.1/62.2-2022,criterio_social,diseño,Principal,,,,,,si,todos,Envolvente,obligatorio,minimo,ACH según ASHRAE,Res.0194:MP-14; CEELA:C06
Res.0534,S-A-2,Plan control calidad aire en obra,Plan de control durante actividades constructivas,criterio_social,construcción,Complementario,,,,,,si,todos,na,obligatorio,minimo,,
Res.0534,S-A-3,Calidad del aire en el tiempo,Verificación calidad sistemas relacionados,criterio_social,operación,Principal,,,,,,si,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,S-CA-1,Confort acústico,Ruido fondo máximo 40 dBA; tratamiento acústico si >60 dBA,criterio_social,diseño,Principal,,,,,,si,todos,Envolvente,obligatorio,minimo,dBA,
Res.0534,S-CA-2,Plan control ruido en obra,Plan de control durante actividades constructivas,criterio_social,construcción,Complementario,,,,,,si,todos,na,obligatorio,minimo,,
Res.0534,S-H-1,Materiales no perjudiciales (HPD; VOC),Inventario ingredientes HPD; VOC pinturas; adhesivos; pisos; aislamientos,criterio_social,diseño,,,,Principal,,,si,todos,Acabados y complementos,obligatorio,minimo,VOC (g/L); HPD,CEELA:C05
Res.0534,S-H-2,Higiene y seguridad trabajadores en obra,Programa educación + señalización adecuada,criterio_social,construcción,Transversal,Transversal,Transversal,Transversal,,,si,todos,na,obligatorio,minimo,,
Res.0534,S-H-3,Plan manejo Legionella,Elaboración e implementación del plan,criterio_social,operación,,,Complementario,,,,condicional,todos,Instalaciones,obligatorio,minimo,,
Res.0534,S-AC-1,Accesibilidad universal,Normativa nacional: accesibilidad; señalización; viviendas sin barreras,criterio_social,diseño,Transversal,Transversal,Transversal,Transversal,,Ley 361/1997; Ley 1618/2013; NTC 6047,si,todos,Envolvente,obligatorio,minimo,,Ley.2462:L-E07
Res.0534,S-AC-2,Mantenimiento circulaciones y accesos,Mantener accesos; pasillos y puntos fijos libres de obstáculos,criterio_social,operación,Transversal,Transversal,Transversal,Transversal,,Personas con movilidad reducida,si,todos,Envolvente,obligatorio,minimo,,Ley.2462:L-E07
Res.0534,S-AS-1,Distancia a servicios de uso diario,Acceso a ≥4 usos diversos a ≤800m peatonal,criterio_social,diseño,Transversal,Transversal,Transversal,Transversal,,,condicional,todos,Exterior,obligatorio,minimo,distancia (m),
Res.0534,E-CI-1,Incidencia criterios sostenibilidad en costos inversión,Análisis costo-beneficio de medidas implementadas,criterio_economico,diseño,Transversal,Transversal,Transversal,Transversal,,,si,todos,na,obligatorio,minimo,,
Res.0534,E-CC-1,Sostenibilidad en estrategia comercial,Desarrollar estrategia comercial desde la sostenibilidad,criterio_economico,diseño,Transversal,Transversal,Transversal,Transversal,,,condicional,todos,na,obligatorio,minimo,,
CEELA,C01,Diseño integrado,Involucrar todos los actores desde fases iniciales para optimizar sostenibilidad,principio,todas,Transversal,Transversal,Transversal,Transversal,,Participación comunitaria en diseño,si,todos,na,voluntario,na,,Ley.2462:L-E01
CEELA,C02,Control radiación solar directa,Protecciones solares; aleros; vidrios adecuados; vegetación,principio,diseño,Principal,,,,,,si,templado calido_seco calido_humedo,Envolvente Cubierta,voluntario,na,,Res.0194:MP-02 a MP-07; Res.0534:S-CT-1
CEELA,C03,Energía incorporada,Energía en extracción; fabricación y transporte de materiales,principio,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,voluntario,na,MJ/kg; kg CO₂eq/kg,Res.0534:A-E-1; A-EM-1
CEELA,C04,Aislamiento térmico,Aislamiento en muros; techos y pisos para estabilizar temperatura,principio,diseño,Principal,,,Complementario,,,si,todos,Estructura Envolvente Cubierta,voluntario,na,Valor U (W/m²K),Res.0194:MP-05; MP-08; MP-09; MP-13; Res.0534:S-CT-1
CEELA,C05,Reducción materiales tóxicos,Materiales saludables sin compuestos dañinos,principio,diseño,,,,Principal,,,si,todos,Acabados y complementos,voluntario,na,VOC; HPD,Res.0534:S-H-1
CEELA,C06,Movimiento del aire,Ventilación cruzada y flujo de aire natural,principio,diseño,Principal,,,,,,si,templado calido_seco calido_humedo,Envolvente,voluntario,na,ACH,Res.0194:MP-14; Res.0534:S-A-1
CEELA,C07,Reducción combustibles fósiles,Minimizar gas/petróleo para operación del edificio,principio,operación,,Principal,,,,,si,todos,Instalaciones,voluntario,na,,Res.0534:A-EM-6; A-EM-8
CEELA,C08,Enfriamiento nocturno,Aire fresco nocturno para enfriar masa térmica,principio,operación,Principal,,,,,,si,calido_seco,Envolvente Cubierta,voluntario,na,ΔT noche,Res.0194:MP-15
CEELA,C09,Diseño bioclimático espacios exteriores,Patios; jardines para mejorar microclima; sombra; ventilación,principio,diseño,Principal,,Complementario,,,,si,todos,Exterior,voluntario,na,,Res.0194:MW-09; Res.0534:A-S-1
CEELA,C10,Equipos e iluminación alta eficiencia,LED; electrodomésticos bajo consumo,principio,operación,,Principal,,,,,si,todos,Instalaciones,voluntario,na,lm/W; W,Res.0194:MA-02; MA-03
CEELA,C11,Comportamiento del usuario,Diseñar considerando uso real; fomentar prácticas eficientes,principio,operación,Transversal,Transversal,Transversal,,,Conecta con economía del cuidado (Ley 2462),si,si,todos,na,voluntario,na,
CEELA,C12,Gestión consciente del agua,Grifos bajo caudal; inodoros eficientes; captación lluvia,principio,operación,,,Principal,,Reduce acarreo agua mujeres/niñas,,si,todos,Instalaciones,voluntario,na,l/min; l/descarga; m³/año,Res.0194:MW-01 a MW-08
CEELA,C13,Climatización eficiente,HVAC de alta eficiencia energética cuando sea necesario,principio,operación,,Principal,,,,,condicional,calido_humedo frio,Instalaciones,voluntario,na,COP; EER,Res.0194:MA-04; MA-08; MA-13
CEELA,C14,Autogeneración electricidad renovable,Paneles solares FV u otras tecnologías renovables in situ,principio,operación,,Principal,,,,,si,todos,Instalaciones,voluntario,na,kWp; % energía,Res.0534:A-EM-8
CEELA,C15,Monitoreo,Sistemas de medición consumo energético; generación renovable; confort,principio,operación,,Complementario,Complementario,,,,si,todos,Instalaciones,voluntario,na,,Res.0534:A-E-4; A-A-6
Ley.2462,L-E01,Enfoque territorial,Políticas diferenciadas según territorio y región,enfoque,todas,Transversal,Transversal,Transversal,Transversal,,,si,todos,na,obligatorio,na,,
Ley.2462,L-E02,Enfoque equidad para la mujer,Diseño de espacios considerando uso diferencial por género,enfoque,todas,Transversal,Transversal,Transversal,Transversal,ENUT 2024-25: brecha rural 5h50min (mujeres 8h53min vs hombres 3h03min); diseño debe reconocer uso diferencial del espacio por género,,si,todos,Envolvente,obligatorio,na,,
Ley.2462,L-E03,Enfoque derechos humanos mujeres rurales,Vivienda digna como derecho fundamental,enfoque,todas,Transversal,Transversal,Transversal,Transversal,Vivienda digna es derecho,,si,todos,na,obligatorio,na,,
Ley.2462,L-E04,Enfoque interseccional y diferencial,Cruzar género × etnia × discapacidad × edad × conflicto,enfoque,todas,Transversal,Transversal,Transversal,Transversal,ENUT 2024-25: Amazonía mujeres 9h47min/día (brecha 6h47min); Orinoquía 9h07min; análisis interseccional región × género × etnia es crítico,Cruzar múltiples vulnerabilidades,si,todos,na,obligatorio,na,,
Ley.2462,L-E05,Enfoque campesinado,Vivienda como unidad productiva (no solo habitacional),enfoque,todas,Principal,,,Complementario,ENUT 2024-25: Amazonía 85.8% mujeres cocinan; 57.3% lavan ropa; vivienda rural es unidad productiva donde se realizan 8h53min/día de trabajo no remunerado,,si,todos,Envolvente,obligatorio,na,,
Ley.2462,L-E06,Enfoque curso de vida,Diseño multigeneracional (niñas; adultas; adultas mayores),enfoque,todas,Transversal,Transversal,Transversal,Transversal,Necesidades por edad,Adultas mayores en rural,si,todos,Envolvente,obligatorio,na,,
Ley.2462,L-E07,Enfoque discapacidad,Accesibilidad universal en vivienda rural,enfoque,todas,Transversal,Transversal,Transversal,Transversal,,NTC 6047; Ley 361/1997; Ley 1618/2013,si,todos,Envolvente,obligatorio,na,,Res.0534:S-AC-1; S-AC-2
Ley.2462,L-E08,Enfoque contra discriminación étnico-racial,Respetar saberes constructivos de pueblos indígenas; afro; raizales; ROM,enfoque,todas,,,,Principal,,Saberes constructivos ancestrales,si,todos,Estructura Envolvente Cubierta,obligatorio,na,,
Ley.2462,L-E09,Enfoque ambiental,Alineado con los 4 ejes de sostenibilidad del TdR,enfoque,todas,Transversal,Transversal,Transversal,Transversal,,,si,todos,na,obligatorio,na,,
Ley.2462,L-E10,Enfoque de cuidado,Diseño espacios para trabajo doméstico no remunerado (cocina; lavado; secado; cuidado personas),enfoque,todas,Principal,Complementario,Complementario,,ENUT 2024-25: suministro alimentos (78.7% mujeres; 2h03min) + mantenimiento vestuario (37.8%; 1h23min) + limpieza (70%; 1h23min) = actividades con mayor brecha género; espacios: cocina; zona lavado; patio secado,,si,todos,Envolvente,obligatorio,na,,CEELA:C11
Ley.2462,L-E11,Enfoque cierre brechas y protección vulnerable,Priorizar soluciones accesibles en costo y disponibilidad,enfoque,todas,Transversal,Transversal,Transversal,Transversal,,Población vulnerable priorizada,si,todos,na,obligatorio,na,,
Ley.2462,L-E12,Enfoque diferencial étnico,Vivienda adaptada a prácticas culturales de cada pueblo,enfoque,todas,,,,Principal,,Técnicas vernáculas como patrimonio cultural,si,todos,Estructura Envolvente Cubierta,obligatorio,na,,
Ley.2462,L-F01,Respeto saberes y conocimientos tradicionales,Sistemas constructivos vernáculos de mujeres deben documentarse y valorarse,fin,todas,,,,Principal,ENUT 2024-25: por primera vez incluye preguntas sobre transmisión de saberes ancestrales; saberes de mujeres en construcción y procesamiento deben documentarse,Conocimiento ancestral válido,si,todos,Estructura Envolvente Cubierta,obligatorio,na,,
Ley.2462,L-F02,Reconocer aportes mujer rural como agente transformadora,Visibilizar rol de la mujer en economía familiar y nacional,fin,todas,Transversal,Transversal,Transversal,Transversal,Visibilizar trabajo productivo femenino en vivienda,,si,todos,na,obligatorio,na,,
