ID,Nombre_proyecto,Tipo,Año,Ubicacion_depto,Ubicacion_municipio,Ubicacion_vereda,Clima_TdR,Subtipo_Koppen,Sistema_constructivo,Subsistemas,E1_bioclimatica,E2_energia,E3_agua,E4_materiales,Estandares_ref,Cumplimiento_observado,Genero_inclusion,Estado,Verificable,Fuente_principal,Archivo_fuente,URL_fuente,Tipo_fuente,Lecciones_aprendidas,Observaciones,Estado_validacion,Motivo_descarte,Fecha_validacion,Validado_por
CAS-013,Casa isleña tradicional San Andrés,vernaculo,finales s.XIX – inicios s.XX,San Andrés y Providencia,San Andrés,Northend / La Loma / San Luis,calido_humedo,Af,madera-aserrada,integral,Casa elevada sobre pilotes para ventilación inferior y protección de humedad; piazza orientada al mar/brisa; cubierta a 2 o 4 aguas; planta libre para circulación de aire,,Cisterna en patio para captación de agua lluvia; pozo en algunos conjuntos,"Madera importada y aserrada; pinturas de aceite en colores fuertes; sistema constructivo prefabricado (iglesia bautista La Loma fabricada en Mobile, Alabama)",A-FL-1; A-M-1; SUDS-4; MP-02; ST333-1,A-FL-1: madera importada (no local) — contradice GM-A1 (proveeduría <300 km) aunque históricamente justificado,"Comunidad raizal afro-anglocaribeña de San Andrés con patrimonio cultural propio (lengua, religión bautista, técnicas de prefabricación importadas)",Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,Sistema antillano prefabricado importado; ejemplo histórico de prefabricación rural,,pendiente_revision,,,
CAS-014,Vivienda afro-tambo Pacífico (Bahía Solano / Nuquí),vernaculo,s.f.,Chocó / Valle del Cauca,Nuquí / Bahía Solano / Buenaventura rural,Huina / Puerto Mutis,calido_humedo,Af,palafito-madera,integral,Casa transparente con grandes aleros que elimina humos y humedad y garantiza ventilación; pilotes altos; planta cuadrada con corredor; tres niveles funcionales (debajo/piso/altillo),,Pilotes elevan sobre crecientes; cocina con fogón de leña en plataforma protegida,Madera aserrada y rolliza local; cubierta de palma reemplazada con tejas zinc/fibrocemento,MP-02; MP-14; L-E08; L-F01; A-FL-1; GM-A1,A-FL-1/A-M-1: cubierta de palma reemplazada por zinc/fibrocemento por 'modernización' — pérdida de material renovable local con menor energía embebida,Comunidades afro-pacíficas e indígenas (Embera/Wounaan en otras zonas); cocina tradicional comunal en plataforma protegida; transmisión intergeneracional de saberes constructivos,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,,,pendiente_revision,,,
CAS-015,Vivienda campesina cafetera Pijao,vernaculo,s.f. (siglo XX),Quindío,Pijao,Vereda La Mariela,templado,Cfb,bahareque,integral,Vivienda elevada del terreno para aislar muros del piso y permitir circulación de aire; puertas enfrentadas para ventilación cruzada; cubierta a 2 aguas con cerchas de guadua; casa-helda con secadero móvil,,,Guadua estructural y para latas; barro arcilloso de recubrimiento; chonta para barandas,L-E05; L-F01; A-M-1; A-FL-1; GM-A1; MP-02,,Vivienda campesina cafetera concebida como unidad productiva (habitación + secado de café); patrimonio cultural cafetero UNESCO 2011 reconoce a las familias campesinas como agentes del paisaje,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,Paisaje cultural cafetero UNESCO 2011,,pendiente_revision,,,
CAS-016,Vivienda cafetera Jardín (vereda Gibraltar),vernaculo,s.f. (registrada 1984 Fonseca-Saldarriaga),Antioquia,Jardín,Vereda Gibraltar,templado,Cfb,bahareque,integral,Planta en U con corredor perimetral para sombra y ventilación; orientación a topografía cafetera de ladera,,,Madera aserrada de la región para postes y cubierta; guadua para divisiones interiores,L-E05; A-M-1; A-FL-1; GM-A1; MP-02,Particularidad antioqueña: postes en madera aserrada en lugar de guadua integral del eje cafetero — variación local del estándar vernáculo,Vivienda campesina cafetera antioqueña como unidad productiva familiar; sin información explícita sobre roles de género en la fuente,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,Área 113 m²; particularidad antioqueña: postes en madera aserrada vs guadua integral del eje cafetero,,pendiente_revision,,,
CAS-017,Vivienda cafetera Salamina (vereda Buenos Aires),vernaculo,s.f. (registrada 1984),Caldas,Salamina,Vereda Buenos Aires,templado,Cfb,bahareque,integral,Planta en L con corredor lateral; uso integral de guadua estructural y de cerramiento; ventilación cruzada por puertas enfrentadas,,,Guadua para postes; esterillas; divisiones; barro arcilloso de revoque,L-E05; A-M-1; A-FL-1; GM-A1; MP-14,,Vivienda campesina cafetera caldense como unidad productiva familiar; sin información explícita sobre roles de género,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,Área 140 m²,,pendiente_revision,,,
CAS-018,Vivienda cafetera Montenegro (vereda Cantone),vernaculo,s.f. (registrada 1984),Quindío,Montenegro,Vereda Cantone,templado,Cfb,bahareque,integral,Planta en L con corredor; vivienda elevada para aislar muros de humedad del piso,,,Guadua integral; recubrimiento en barro arcilloso,L-E05; A-M-1; A-FL-1; GM-A1; MP-13,,Vivienda campesina cafetera quindiana como unidad productiva familiar; sin información explícita sobre roles de género,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,Área 136 m²,,pendiente_revision,,,
CAS-019,Vivienda cafetera Santa Rosa de Cabal (vereda Berlín),vernaculo,s.f. (registrada 1984),Risaralda,Santa Rosa de Cabal,Vereda Berlín,templado,Cfb,bahareque,integral,Planta en L con corredor; sistema constructivo de cerchas triangulares de guadua; secadero anexo para café,,,Guadua integral; barro arcilloso; chonta para barandas,L-E05; A-M-1; A-FL-1; GM-A1; A-R-2,,Vivienda campesina cafetera risaraldense como unidad productiva con secadero anexo; sin información explícita sobre roles de género,Construido,publicacion,"Calderón, Mosquera, Franco - Vivienda y cultura (U. del Valle / ICANH, 2022)",Vivienda+y+Cultura_Digital.pdf,https://publicaciones.icanh.gov.co/index.php/picanh/catalog/view/131/304/2854,documento_proyecto,Área 118 m²,,pendiente_revision,,,
CAS-020,Vivienda tradicional Sáliba Resguardo El Consejo (Casa de María),mixto,s.f. (estudio 2022),Casanare,Orocué,Resguardo El Consejo,calido_humedo,Aw,mixto-adobe-madera,integral,Casa de espacios separados (corredor; cocina; sala abiertos sin muros); habitaciones cerradas pero con vacío entre techo y muro para entrada de luz/viento; muros gruesos adobe orientación N-S; aleros amplios sobre fachadas expuestas; ventilación natural por interrupción techo-muro,Aprovechamiento luz natural por arquitectura abierta; sin AA ni calefacción; baúl autoconstruido para conservar proteína animal seca (evita uso de nevera),Captación pluvial por canaletas; aleros y canales superficiales auto-excavados; almacenamiento en tanques pequeños sin tratamiento; pozo profundo + jagüey o lago para potable,Adobe (barro+pasto+excremento de vaca) en muros; madera local en estructura/cerramientos cortada en luna menguante; cubierta palma real (>30 años; vida útil 12-20 años); zinc industrial en cubierta intervenida por subsidios VIS,MP-02; MP-13; MP-14; MA-01; MW-08; A-FL-1; GM-A1; L-E08; L-E12; L-F01; PNVISR-1,MP-08: cubierta palma sin parametrización U; MW-08: capta lluvia sin PTALL ni dimensionamiento; PNVISR-1: módulos VIS subsidiados rompen lógica vernácula (cocina cerrada genera humero del mañoco que no escapa),Etnia indígena Sáliba; jerarquía de oficios por género (cocina/aseo mujeres; oficios exteriores hombres) pero adaptable según necesidad; transmisión generacional empírica de conocimientos constructivos,Construido,publicacion,"Ponce de León (Uniandes 2022/Dearq 2023), pp. 77-79",AR-Uniandes-Orocue.pdf,https://repositorio.uniandes.edu.co/entities/publication/ff137b3e-52ce-49ff-80fc-9ecbf3c892ad,tesis,Replicar: vacío estructural techo-muro para ventilación + aleros amplios + adobe con masa térmica + palma para cubierta. Evitar: subsidios VIS de bloque+zinc cerrados sin diseño bioclimático que obligan a construir budar exterior,Modelación bioclimática (Universidad del Trópico) confirma adobe + palma como mejor desempeño térmico; intervención VIS empeora confort. Caso de cosmovisión Sáliba,pendiente_revision,,,
CAS-021,Vivienda autoconstruida Sáliba Resguardo San Juanito (Casa de Margarita),vernaculo,s.f. (estudio 2022),Casanare,Orocué,Resguardo San Juanito,calido_humedo,Aw,adobe,integral,Distribución espacial dispersa de unidades separadas; corredores y sala completamente abiertos; cocina abierta; vacío estructural techo-muro; ventilación cruzada permanente,Sin intervención eléctrica; iluminación natural,Pozo profundo con motobomba y tanque por gravedad; aguas grises a pozo séptico en lote,Adobe reforzado con malla y pañete de tierra-pasto-excremento; madera local; palma real para cubierta,MP-02; MP-13; MP-14; MA-01; A-FL-1; GM-A1; L-E08; L-F01; PNVISR-1,Mantiene 100% técnicas vernáculas sin intervención VIS; sin tratamiento de agua (riesgo vectores),Vivienda Sáliba sin intervención del Estado; preserva dinámicas de habitar tradicionales; cocina como espacio de trabajo femenino integrado al exterior,Construido,publicacion,"Ponce de León (Uniandes 2022/Dearq 2023), pp. 80-81",AR-Uniandes-Orocue.pdf,https://repositorio.uniandes.edu.co/entities/publication/ff137b3e-52ce-49ff-80fc-9ecbf3c892ad,tesis,Replicar: planta dispersa con unidades separadas según función; orientación muros largos N-S. Evitar: ausencia de tratamiento aguas y vectores,Caso de comparación: vivienda 100% vernácula vs. vivienda intervenida (CAS-020 de María),pendiente_revision,,,
CAS-022,Hato La Charanga (vaquería tradicional llanera),vernaculo,s.f. (estudio 2022),Casanare,Orocué,Rural disperso (cerca casco urbano),calido_humedo,Aw,mixto-adobe-madera,integral,Núcleo central de habitaciones; cocina y baño cerrados; elementos productivos (caballeriza; tasajera; cultivos; corrales) distanciados; orientación muros largos N-S; arborización para sombra y refrescamiento,Aprovechamiento luz diurna; tasajera para secado de carne (sin nevera),Jagüey y pozos profundos; aguas residuales a pozo séptico en lote,Adobe; madera; palma real; entablado de madera; algunos elementos en cemento por modernización,MP-02; MP-13; MP-14; A-FL-1; GM-A1; L-E05; L-F01; PNVISR-2,L-E05: vivienda como unidad productiva muy clara (caballeriza; corrales; tasajera; cultivos); pero distancias largas al baño/cocina pueden cargar trabajo doméstico,Vivienda llanera de vaquería; jerarquía clara hombre/mujer pero todos colaboran según necesidad,Construido,publicacion,"Ponce de León (Uniandes 2022/Dearq 2023), p. 76",AR-Uniandes-Orocue.pdf,https://repositorio.uniandes.edu.co/entities/publication/ff137b3e-52ce-49ff-80fc-9ecbf3c892ad,tesis,Replicar: organización productiva del hato (mangón; corrales; tasajera; jagüey); separación funcional con núcleo habitacional. Evitar: distancias largas que cargan trabajo doméstico,Tipología de vivienda llanera de hato distinta a la indígena Sáliba; vinculada a oficio de vaquería (patrimonio inmaterial UNESCO cantos de trabajo de llano),pendiente_revision,,,
CAS-023,Rancho Campechanas Mariela Z (vivienda llanera tradicional),vernaculo,s.f. (estudio 2024),Casanare,desconocido,desconocido,calido_humedo,Aw,madera,envolvente; cubierta,Techo alto en palma para ventilación natural y sensación de amplitud; corredores abiertos para conexión visual y funcional con exterior; chinchorro como elemento adaptado al clima cálido (portabilidad; frescura),No aplica,No aplica,Palma para cubierta (aislamiento térmico; regulación temperatura); bahareque (barro + fibras naturales) en muros; madera local; chinchorros tejidos en fibras naturales,MP-02; MP-08; MP-14; A-FL-1; GM-A1; L-E08; L-E12; L-F01,MP-08: palma con buen aislamiento pero deteriorada por cambio climático; comparación favorable vs. zinc que amplifica lluvia y aumenta temperatura,Construcción colaborativa intergeneracional; chinchorros como expresión cultural llanera; corredores como espacios de socialización familiar,Construido,foto,Tabares (UniPamplona 2024); Mod. Arquit. CUC 34(1); figs 3-4; pp. 21-22,AR-UniPamplona-ViviendaLlanera.pdf,https://revistascientificas.cuc.edu.co/moduloarquitecturacuc/article/view/6207/5932,revista,Replicar: techos altos + corredores amplios + chinchorros + palma. Evitar: sustitución por cemento+zinc que rompe corporeidad multisensorial y rendimiento térmico,Caso documentado fotográficamente como rancho tipo campechana; el artículo no específica municipio exacto en Casanare,pendiente_revision,,,
CAS-024,Vivienda campesina Familia Reuto Finca El Arbolito (Tame; sabana semi-inundable),vernaculo,s.f. (estudio 2021),Arauca,Tame,Sector La Isla,calido_humedo,Aw,madera,envolvente; cubierta,Casa con porche cubierto separado de habitaciones; ventilación natural por aberturas; cubierta de palma morichal o zinc (por prohibición tala),Sin red eléctrica formal; iluminación natural,Sin acueducto/alcantarillado; agua del río Cravo Norte; vivienda inundable por baja altura cimentación (se sumerge en lluvia nov-mar),Madera local; caña brava; palma morichal (en deterioro por regulación tala); zinc o fibrocemento como reemplazo industrial,A-FL-1; GM-A1; L-E05; L-F01; PNVISR-3; RAS-1,PNVISR-3: sin acceso a agua potable; alcantarillado; electricidad; cimentación sin altura suficiente para inundaciones (humedad → enfermedades respiratorias en niñas),Familia con dos niñas (3 y 4 años); itinerarios diferenciados: madre cocina desde 4am para esposo y trabajadores; oficios aseo en patio; padre en zona productiva; hijos en patio y MH,Solo diseño,publicacion,"Espinel Solano (UniSalle 2021), pp. 17-19",AR-Unisalle-Tame.pdf,https://drive.google.com/file/d/1PwFP7uOfJl3lhlNajwcD9zRbwrNfoa9D/view?usp=sharing,tesis,Replicar: porche social separado; módulo cocina separado para evacuar humo. Evitar: cimentación al nivel del suelo en sabana inundable; reemplazo de palma por zinc sin pintura reflectiva,Antiejemplo vivido: las niñas enferman por humedad. Tesis propone propuesta neovernacular elevada en pilastras 60cm + columnas armadas madera (no construida),pendiente_revision,,,
CAS-025,Vivienda zenú vernácula corregimiento La Gallera (Sucre),vernaculo,s.f. (estudio 2022-23),Sucre,Sincelejo,Corregimiento La Gallera,calido_humedo,Aw,bahareque,integral,Espacios sociales (patio; terraza; kiosco) preferidos sobre interiores por confort térmico; cocina y baño en patio (separados de núcleo); ventilación cruzada por elementos abiertos; arborización en patios compartidos; piso de tierra firme natural (33% viviendas),Sin red de gas natural en 7%; cocina con leña en fogón exterior; sin iluminación pública adecuada,Sin acueducto (100%); agua por carrotanque (50%) o pozo (32%) o vendedor (18%); pozo séptico para aguas residuales; tendencia a uso de baño isla artesanal en patio; recolección pluvial sin tratamiento,Bahareque (barro + caña delgada); embarro con excremento de vaca; troncos de madera local; palma seca para cubierta; tierra compactada para piso; zinc galvanizado bajo palma para impermeabilidad; tabla de madera en muros interiores; esterilla de guadua,MP-02; MP-13; MP-14; MW-08; A-FL-1; GM-A1; L-E08; L-E12; L-F01; PNVISR-3; SUDS-4,PNVISR-3: 0% acueducto; 0% alcantarillado; 47% agua potable rural municipal; MW-08: capta lluvia sin tratamiento; cocina con leña 7% genera PM2.5,Etnia indígena zenú; hogares de 5+ personas (45%) tipo nuclear biparental o extensa; cocina y aseo realizados por mujeres en exterior; comunidad con líderes (capitanes); pérdida cultural arquitectónica por crecimiento urbano,Construido,publicacion,"Barragán; Hernández; Figueroa (CECAR 2023), pp. 47-58",TdeG-CECAR-habitatrural-LAGALLERA-SUCRE.pdf,https://repositorio.cecar.edu.co/server/api/core/bitstreams/8f7499ff-3f56-4ac2-8cc5-0602ef272709/content,tesis,Replicar: bahareque + cubierta doble (zinc impermeabilizado + palma sombreante); cocina/baño separados en patio. Evitar: ausencia de tratamiento de agua y vertimientos a pozo séptico sin diseño,Caso indígena zenú segundo pueblo más grande CO; 39.4% NBI municipal cualitativo; fuente etnográfica por encuesta a 100 viviendas y 7 talleres participativos,pendiente_revision,,,
