ID_busqueda,Clima_TdR,Subtipo_Köppen,Categoria,Subsistema,Nombre,Familia,Eje,Prioridad,Estado,N_fuentes,Fuentes_clave_M1,Observaciones
BS-053,todos,,complemento,S5,Iluminación LED >90 lm/W,-,E2,alta,pendiente,,,Anexo 1 MA-02 obligatoria
BS-054,todos,,complemento,S5,Panel solar fotovoltaico aislado,-,E2,alta,pendiente,,,ZNI rural
BS-055,frio templado,,complemento,S5,Calentador solar de agua,-,E2,alta,pendiente,,,Anexo 1 MA-12
BS-056,frio,,complemento,S5,Estufa eficiente / cocina mejorada,-,E2,alta,pendiente,,,Biomasa + reducción PM2.5
BS-057,calido_seco,,complemento,S5,Enfriamiento evaporativo,-,E2,media,pendiente,,,Anexo 1 MA-13
BS-058,todos,,complemento,S5,Biodigestor doméstico,-,E2,media,pendiente,,,Con producción animal
BS-059,todos,,complemento,S5,Captación aguas lluvias (base),-,E3,alta,pendiente,,,Anexo 1 MW-06
BS-060,todos,,complemento,S5,Tratamiento aguas grises (humedal artificial),-,E3,media,pendiente,,,Anexo 1 MW-05
BS-061,todos,,complemento,S5,Pozo séptico / biodigestor sanitario,-,E3,alta,pendiente,,,Sin red
BS-062,todos,,complemento,S5,Inodoro de bajo consumo,-,E3,alta,pendiente,,,Anexo 1 MW-04
BS-063,todos,,complemento,S5,Ducha y lavamanos de bajo consumo,-,E3,alta,pendiente,,,Anexo 1 MW-01 MW-02
BS-064,calido_seco,,complemento,Exterior,Paisajismo nativo eficiente en agua,-,E3,media,pendiente,,,Anexo 1 MW-07
BS-065,todos,,metodologia,-,Análisis del sitio,-,transversal,media,pendiente,,,TdR P2
BS-066,todos,,metodologia,-,Análisis higrométrico de materiales,-,transversal,media,pendiente,,,Literatura escasa ES
BS-067,todos,,metodologia,-,Simulación energética (EnergyPlus/DesignBuilder),-,transversal,baja,pendiente,,,
BS-068,todos,,metodologia,-,Monitoreo post-ocupación (POE),-,transversal,baja,pendiente,,,
BS-069,todos,,metodologia,-,Factor de luz día / autonomía lumínica,-,transversal,baja,pendiente,,,
BS-070,calido_seco,BWh,complemento,S4,Sobrecubierta tejida de yotojoro sobre zinc,vernaculo,E1,alta,pendiente,,,Reducción térmica hasta 80% según fuente del líder; caso wayúu Guajira
BS-071,todos,,complemento,S3,Espacios de transición (corredor; terraza; patio interior),-,E1,media,pendiente,,,Regulación térmica pasiva por tipología arquitectónica
BS-072,todos,,complemento,S4,Cubierta inclinada con pendiente >25%,-,E1,media,pendiente,,,Facilita evacuación pluvial + recolección + efecto chimenea
BS-073,todos,,complemento,S3 S4,Iluminación natural por diseño (ventanas; clarabollas; patios),-,E1 E2,alta,pendiente,,,Reduce dependencia de iluminación artificial
BS-074,calido_seco frio,BWh,complemento,S5,Microturbina eólica doméstica,-,E2,media,pendiente,,,ZNI Guajira y altoandino con vientos sostenidos
BS-075,frio templado,,material,S1 S2,Piedra local (mampostería en piedra),mamposteria,E4,media,pendiente,,,Altiplanos con canteras locales; sobrecimientos vernáculos
BS-076,calido_seco calido_humedo,,complemento,S5,Aljibe tradicional de almacenamiento,-,E3,media,pendiente,,,Almacenamiento subterráneo; Caribe y Santanderes
BS-077,todos,,metodologia,todos,Verificación de cumplimiento NSR-10,-,transversal,alta,pendiente,,,Estándar innegociable; Título E mampostería; Título G madera; Título H guadua experimental
BS-078,todos,,material,S2 S3,Energía embebida en materiales estructurales y envolvente,-,E4,alta,pendiente,,,Res. 0534 A-E-1; ACV; ISO 14044; Demanda Primaria de Energía
BS-079,todos,,complemento,S2 S3 S4,Circularidad y gestión de RCD,-,E4,alta,pendiente,,,Res. 0534 A-R-1 a A-R-6; reincorporación a ciclo biológico o tecnológico; diseño modular
BS-080,todos,,material,S2 S4,Madera responsable y prevención deforestación,madera-guadua,E4,alta,pendiente,,,Res. 0534 A-FL-1 y A-FL-2; FSC; PEFC; Salvoconducto SUNL; LOF
BS-081,todos,,complemento,S3,Confort acústico (diseño + control ruido),-,E1,media,pendiente,,,Res. 0534 S-CA-1; máximo 40 dBA ruido de fondo; tratamiento acústico si >60 dBA
BS-082,todos,,complemento,S3,Calidad del aire interior (renovación + extracción),-,E1,media,pendiente,,,Res. 0534 S-A-1; ASHRAE 62.1/62.2-2022; sensores CO/CO2; ventilación natural
BS-083,todos,,material,S6,Materiales no tóxicos (HPD; VOC; REACH),-,E4,alta,pendiente,,,Res. 0534 S-H-1; pinturas; recubrimientos; adhesivos; pisos; aislamientos; Cradle to Cradle; GreenGuard
BS-084,todos,,complemento,S5,FNCE y autogeneración renovable (solar; eólica; biomasa),-,E2,alta,pendiente,,,Res. 0534 A-EM-8; mínimo 1% energía total; CEELA C14; incluye microeólica y biogás
BS-085,todos,,complemento,S5,Estufas eficientes y reducción de humo (impacto salud mujeres),-,E2,alta,pendiente,,,Ley 2462/2025 Fin 3 (reducir carga doméstica) + Fin 8 (transición energética); PM2.5; cocinas a leña; exposición diferencial 3-5h/día
BS-086,todos,,estrategia,S3,Diseño de espacios productivos domésticos (cocina amplia; patio secado; zona procesamiento),-,E1,alta,pendiente,,,Ley 2462/2025 Fin 1 (saberes tradicionales) + Art. 9 (economía cuidado); vivienda como unidad productiva
BS-087,calido_seco calido_humedo,,complemento,S5,Captación pluvial como reducción de acarreo de agua (impacto género),-,E3,alta,pendiente,,,Ley 2462/2025 Fin 3 (reducir carga doméstica); mujeres y niñas cargan agua; distancia y tiempo
BS-088,todos,,estrategia,S3,Accesibilidad y diseño universal en vivienda rural,-,transversal,alta,pendiente,,,Ley 2462/2025 Enfoque 7 (discapacidad); Res. 0534 S-AC-1 S-AC-2; NTC 6047; Ley 361/1997; Ley 1618/2013
BS-089,todos,,material,S2 S3 S4,Saberes constructivos ancestrales de comunidades étnicas,-,E4,alta,pendiente,,,Ley 2462/2025 Enfoques 8 y 12 (étnico-racial + diferencial étnico); Fin 1 (respeto saberes); indígenas; afro; raizales; ROM
