Referencia,URL_fuente,ID,Tema,Descripcion,Jerarquía,Etapa_ciclo_vida,E1_bioclimatica,E2_energia,E3_agua,E4_materiales,Notas,Ref_Ley2462,Aplica_vivienda_rural,Clima,Subsistema,Caracter_legal,Nivel_cumplimiento,Parametro_indicador,Correspondencia_cruzada
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-14,Ventilación natural,Entrada y salida de aire sin sistemas mecánicos,medida_pasiva,operación,Principal,,,,Ventilación cruzada es la estrategia bioclimática más importante en cálido húmedo y seco rural. Palafito del Pacífico usa ventilación inferior; bahareque caribe usa aberturas opuestas. Critico para calidad del aire en cocinas con leña,,si,templado calido_seco calido_humedo,Envolvente,obligatorio,recomendada,ACH (cambios/hora),CEELA:C06; Res.0534:S-A-1
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MP-15,Night flush (descarga nocturna),Eliminar calor diurno con aire fresco nocturno,medida_pasiva,operación,Principal,,,,Night flush funciona en cálido seco rural donde la oscilación térmica diurna es >10°C (Tatacoa; Chicamocha; Guajira). Requiere masa térmica + aberturas operables,,si,calido_seco,Envolvente Cubierta,obligatorio,recomendada,ΔT diurna/nocturna,CEELA:C08
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MA-01,Iluminación natural + control luz día,Aprovechar luz natural con sensores fotoeléctricos y dimerizadores,medida_activa,operación,Complementario,Principal,,,Iluminación natural es crítica en vivienda rural donde el acceso a energía eléctrica puede ser limitado (ZNI). ENUT 2024-25: cocina y zona de lavado requieren iluminación adecuada para las 2h03min/día qué mujeres dedican a suministro de alimentos,,si,todos,Envolvente Instalaciones,obligatorio,recomendada,FLD (%),Res.0534:S-CL-1; S-CL-2
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MA-02,Densidad potencia de luz (LED >90 lm/W),Luminarias LED eficientes; cumplir RETILAP Res. 40150/2024,medida_activa,operación,,Principal,,,LED >90 lm/W es la única tecnología viable en vivienda rural con panel solar (bajo consumo). Reemplaza velas y mecheros en ZNI. RETILAP 2024 obligatorio,,si,todos,Instalaciones,obligatorio,recomendada,LPD (W/m²); lm/W,CEELA:C10; PROURE Res.41286/2016 meta residencial
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MA-03,Controles de iluminación,Sensores de ocupación; fotométricos; dimerizadores,medida_activa,operación,,Principal,,,,,condicional,todos,Instalaciones,obligatorio,recomendada,,CEELA:C10
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MA-04,COP de aire acondicionado,Coeficiente de desempeño; priorizar refrigerantes bajo GWP,medida_activa,operación,,Principal,,,,,condicional,calido_humedo,Instalaciones,obligatorio,recomendada,COP (adimensional),CEELA:C13
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MA-10,Agua caliente solar,Colectores solares para agua caliente,medida_activa,operación,,Principal,,,Calentador solar es viable en frío y templado rural. Reduce consumo de leña/gas para agua caliente. Incentivo tributario Ley 1715/2014 (exclusión IVA),,si,frio templado,Instalaciones,obligatorio,obligatorio,recomendada,Fracción solar (%)
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MA-11,Enfriamiento evaporativo,Enfría aire mediante evaporación de agua,medida_activa,operación,,Principal,,,Enfriamiento evaporativo funciona en cálido seco rural (Guajira; Tatacoa) donde la humedad es baja. Bajo costo; no requiere electricidad si es pasivo (panel húmedo),,si,calido_seco,Instalaciones,obligatorio,obligatorio,recomendada,ΔT enfriamiento (°C)
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MA-12,Calentamiento radiante,Red tuberías agua caliente en piso/paredes/techo,medida_activa,operación,,Principal,,,,,condicional,frio,Instalaciones,condicional,obligatorio,recomendada,T° superficie (°C)
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MW-01,Accesorios ahorro agua,Grifería conservadora: bajo flujo; doble descarga,medida_hidrica,operación,,,Principal,,Aparatos de bajo consumo reducen demanda en vivienda rural con acueducto limitado o captación pluvial. Cada litro ahorrado = menos acarreo,,si,todos,Instalaciones,obligatorio,recomendada,Caudal (l/min),CEELA:C12
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MW-02,Lavamanos eficientes,Cierre automático + aireadores; público <2 l/min; privado <6.8 l/min,medida_hidrica,operación,,,Principal,,Grifo de cierre automático + aireador: inversión pequeña; ahorro significativo en rural donde cada litro cuenta,,si,todos,Instalaciones,obligatorio,recomendada,Caudal (l/min),CEELA:C12
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MW-03,Duchas bajo flujo,Caudal <8 l/min eficiente,medida_hidrica,operación,,,Principal,,Ducha de bajo flujo (<8 l/min) reduce demanda de agua calentada con leña o solar — ahorro energético + hídrico,,si,todos,Instalaciones,obligatorio,recomendada,Caudal (l/min),CEELA:C12
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MW-05,Inodoros eficientes,Simple <4.8 l/descarga; doble <4.5 l/descarga,medida_hidrica,operación,,,Principal,,Inodoro doble descarga (<4.5 l) es la medida de agua con mejor costo-beneficio para VIS rural,,si,todos,Instalaciones,obligatorio,recomendada,l/descarga,CEELA:C12
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MW-06,Tratamiento aguas grises,PTAR para aguas residuales excepto sanitarios y cocina,medida_hidrica,operación,,,Principal,,Tratamiento aguas grises en rural: humedal artificial o trampa de grasa + campo de infiltración. No requiere energía,,condicional,todos,Instalaciones,obligatorio,recomendada,% reciclada,CEELA:C12; Decreto 3930/2010 (vertimientos; control aguas residuales)
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MW-07,Tratamiento aguas negras,PTAR para todas las aguas residuales,medida_hidrica,operación,,,Principal,,Aguas negras en rural sin alcantarillado: biodigestor o pozo séptico mejorado. RAS Res. 0330/2017 aplica,,condicional,todos,Instalaciones,obligatorio,recomendada,% reciclada,CEELA:C12; Decreto 3930/2010 (vertimientos)
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MW-08,Captación aguas lluvias,Captación por cubiertas → filtrado → PTALL → redistribución,medida_hidrica,operación,,,Principal,,ENUT 2024-25: 70% mujeres participan en limpieza/mantenimiento (incluye acarreo agua en rural); 8h53min/día trabajo no remunerado en rural disperso; captación pluvial elimina acarreo (Ley 2462 Fin 3) | RURAL: ENUT 2024-25: 70% mujeres participan en limpieza/mantenimiento que incluye acarreo agua en rural; 8h53min/día trabajo no remunerado. Captación pluvial elimina acarreo y libera tiempo. Ley 2462 Fin 3,L-F03,si,todos,Instalaciones,obligatorio,a_discrecion,M³/año,CEELA:C12; Ley.2462:L-F03
Res.0194,https://minvivienda.gov.co/sites/default/files/normativa/anexo-1-guia-de-construccion-sostenible.pdf,MW-09,Paisajismo eficiente en agua,Vegetación nativa; bajo consumo riego; establecimiento <2 años,medida_hidrica,operación,,,Principal,,Paisajismo con vegetación nativa: sin riego adicional; contribuye a biodiversidad; sombra natural. Especialmente útil en cálido seco rural,,si,calido_seco,Exterior,obligatorio,recomendada,% reducción riego,CEELA:C09
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-E-1,Energía embebida en materiales,ACV de energía total consumida por un material en su ciclo de vida,criterio_ambiental,extracción/manufactura,,,,Principal,Energía embebida en materiales rurales: tapia (GWP ~0.08 kg CO2eq/kg) vs. bloque concreto (~0.12) vs. ladrillo (~0.22). Materiales locales tienen menor energía embebida por menor transporte (<100 km),,si,todos,Estructura Envolvente,obligatorio,minimo,MJ/unidad funcional,CEELA:C03
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-E-2,Consumo proyectado energía operación,Cumplir % ahorro Res. 0194; diseño bioclimático; simulación,criterio_ambiental,diseño,Principal,Principal,,,En vivienda rural el consumo energético proyectado es bajo (sin HVAC); el enfoque debe ser maximizar estrategias pasivas antes que activas. Diseño bioclimático es más crítico que eficiencia de equipos,,si,todos,todos,obligatorio,minimo,% ahorro vs línea base,Res.0194:MP-01 a MP-15
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-E-3,Ahorro energía en construcción,Control global consumo eléctrico mes a mes en obra,criterio_ambiental,construcción,,Principal,,,,,si,todos,,obligatorio,minimo,kWh/mes,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-E-4,Medición y control consumo energía,Medidores de energía por cada fuente de abastecimiento,criterio_ambiental,operación,,Principal,,,,,condicional,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-E-5,Desempeño energético en el tiempo,Verificación calidad sistemas que consumen energía,criterio_ambiental,operación,,Principal,,,,,condicional,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-E-6,Ahorro energía en deconstrucción,Control global consumo eléctrico en deconstrucción,criterio_ambiental,deconstrucción,,Principal,,,,,condicional,todos,,obligatorio,minimo,kWh/mes,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-A-1,Huella hídrica de materiales,ACV de huella hídrica; materiales estructurales y envolvente,criterio_ambiental,extracción/manufactura,,,Complementario,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,M³/unidad funcional,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-A-2,Eutrofización,ACV potencial de eutrofización de materiales,criterio_ambiental,extracción/manufactura,,,Complementario,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg PO₄eq,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-A-3,Consumo agua proyectado operación,Cumplir % ahorro agua Res. 0194; balance hídrico,criterio_ambiental,diseño,,,Principal,,,,si,todos,Instalaciones,obligatorio,minimo,% ahorro vs línea base,Res.0194:MW-01 a MW-10; CEELA:C12
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-A-4,Ahorro agua en construcción,Control global consumo agua mes a mes en obra,criterio_ambiental,construcción,,,Principal,,,,si,todos,,obligatorio,minimo,M³/mes,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-A-5,Plan erosión; sedimentación; vertidos,Elaborar y ejecutar plan de control,criterio_ambiental,construcción,,,Principal,,,,si,todos,,obligatorio,minimo,,; Decreto 3930/2010 (control vertimientos en obra)
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-A-6,Medición y control consumo agua,Medidores de agua por cada fuente de abastecimiento,criterio_ambiental,operación,,,Principal,,,,si,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-A-7,Desempeño consumo agua en el tiempo,Verificación calidad sistemas que consumen agua,criterio_ambiental,operación,,,Principal,,,,si,todos,Instalaciones,obligatorio,minimo,,CEELA:C15
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-EM-1,Emisiones GEI por fabricación materiales,ACV de GEI; materiales estructurales y envolvente,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg CO₂eq,CEELA:C03; Res.0831/2020 (MRV acciones mitigacion)
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-EM-2,Protección capa de ozono por fabricación,ACV potencial agotamiento capa ozono,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg CFC-11eq,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-EM-3,Compuestos ácidos emitidos al aire,ACV potencial acidificación,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg SO₂eq,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-EM-4,Contaminación atmosférica por fabricación,ACV formación ozono troposférico,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,POCP,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-EM-5,Emisiones GEI ciclo de vida del proyecto,ACV huella de carbono del edificio (estructura + envolvente). NDC 2020: Colombia compromete reducción 176 Mt CO2eq a 2030; sector vivienda incluido; edificaciones nuevas deben ser bajas en carbono,criterio_ambiental,diseño,,Complementario,,Principal,,,si,todos,Estructura Envolvente,obligatorio,minimo,kg CO₂eq edificio; NDC: 176 Mt CO2eq reducción a 2030,CEELA:C03
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-EM-6,Emisiones GEI combustibles fósiles en obra,Fichas mantenimiento preventivo maquinaria,criterio_ambiental,construcción,,Principal,,,,,si,todos,todos,,obligatorio,mínimo,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-EM-7,Plan control contaminación atmosférica,Elaborar y ejecutar plan durante obra,criterio_ambiental,construcción,,,,Complementario,,,si,todos,,obligatorio,minimo,,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-EM-8,Uso FNCE para reducir GEI,Reemplazar mínimo 1% energía total con fuentes no convencionales. E2050: 100% edificaciones nuevas Net Zero a partir de 2030; existentes Net Zero a 2050 (WorldGBC). 75% RCD aprovechables en peso total materiales,criterio_ambiental,operación,,Principal,,,FNCE en rural: panel solar FV es la opción principal en ZNI. E2050: 100% edificaciones nuevas Net Zero a 2030. Ley 1715/2014: exclusión IVA para equipos renovables,,si,todos,Instalaciones,obligatorio,obligatorio,Mínimo; E2050: 100% nuevas Net Zero 2030; 75% RCD aprovechable,% energía FNCE; E2050 Estrategia Climatica LP
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-M-1,Diseño con materiales con atributos sostenibilidad,ACV para materiales envolvente y estructurales; especificar atributos,criterio_ambiental,diseño,,,,Principal,En rural los materiales con atributos de sostenibilidad son frecuentemente los vernáculos: tierra (tapia; adobe; BTC); guadua; madera local. La certificación formal (ACV; EPD) no existe para estos — documentar como patrimonio constructivo,,si,todos,Estructura Envolvente,obligatorio,minimo,,CEELA:C03; C05; CONPES 3934 (Crecimiento Verde 2030)
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-M-2,Política de compras sostenibles,Política para adecuaciones y remodelaciones futuras,criterio_ambiental,operación,,,,Principal,,,si,todos,,obligatorio,minimo,,; CONPES 3934; Estrategia Economia Circular MADS
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-S-1,Evaluación del sitio,Evaluación que retroalimente decisiones de diseño; remediación si contaminación,criterio_ambiental,diseño,Complementario,,Complementario,Complementario,,,si,todos,,obligatorio,minimo,,CEELA:C09
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-R-1,Circularidad,REP en empaques y envases; reincorporación a ciclo biológico o tecnológico,criterio_ambiental,extracción/manufactura,,,,Principal,Circularidad en rural: la vivienda de tapia al demolerse vuelve a ser tierra; la guadua se reutiliza; el bahareque se reconstruye. Los sistemas vernáculos SON circulares por naturaleza,,si,todos,Estructura Envolvente,obligatorio,minimo,% reincorporación,; CONPES 3934 meta reciclaje materiales
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-R-2,Diseño modular para disminuir RCD,Modulación espacios según tamaños típicos de materiales,criterio_ambiental,diseño,,,,Principal,Diseño modular en rural: sistemas de entramado liviano (guadua; madera) permiten ampliación futura sin reforzar estructura. PNVISR define vivienda progresiva,,si,todos,Estructura Envolvente,obligatorio,minimo,,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-R-3,Diseño espacios manejo integral residuos,Espacio para separación: reciclables; compostables; peligrosos; ordinarios,criterio_ambiental,diseño,,,,Complementario,,,si,todos,Envolvente,obligatorio,minimo,,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-R-4,Plan gestión RCD construcción,Plan previo inicio obra según regulación. E2050: meta 75% de RCD aprovechables en peso total de materiales usados en nuevas edificaciones,criterio_ambiental,construcción,,,,Complementario,,,si,todos,,obligatorio,minimo,% desvío de relleno; E2050: 75% RCD aprovechable,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-R-5,Política gestión residuos operación,5 flujos: RAEE; RCD remodelaciones; peligrosos,criterio_ambiental,operación,,,,Complementario,,,si,todos,,obligatorio,minimo,,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-R-6,Plan gestión RCD deconstrucción,Plan previo según regulación,criterio_ambiental,deconstrucción,,,,Complementario,,,si,todos,,obligatorio,minimo,% desvío de relleno,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-FL-1,Madera responsable,Salvoconducto SUNL; LOF; informe anual proveedor; FSC/PEFC deseable,criterio_ambiental,extracción/manufactura,,,,Principal,Madera responsable en rural: verificar SUNL; LOF. En eje cafetero la guadua tiene NTC 5301. FSC/PEFC deseable pero poco disponible en zonas rurales remotas,,si,todos,Estructura Cubierta,obligatorio,minimo,,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-FL-2,Prevención deforestación cadena productiva,Soportes legalidad de productos; informes sostenibilidad,criterio_ambiental,extracción/manufactura,,,,Principal,,,si,todos,Estructura Cubierta,obligatorio,minimo,,
Res.0534,https://minvivienda.gov.co/sites/default/files/normativa/anexo-guia-tecnica-criterios-de-sostenibilidad-para-edificaciones-ciclo-de-vida_1_0.pdf,A-FL-3,Plan gestión flora y fauna en obra,Elaborar y ejecutar plan durante actividades constructivas,criterio_ambiental,construcción,,,,Complementario,,,si,todos,,obligatorio,minimo,,
